page,sexo,apostila,aposentou,faleceu
5,M,FALSE,TRUE,TRUE
6,M,FALSE,TRUE,FALSE
7,M,FALSE,TRUE,TRUE
8,M,FALSE,TRUE,TRUE
9,M,FALSE,TRUE,TRUE
10,M,FALSE,TRUE,FALSE
11,M,FALSE,FALSE,TRUE
12,M,FALSE,TRUE,TRUE
13,M,FALSE,TRUE,TRUE
14,M,FALSE,FALSE,TRUE
15,M,FALSE,TRUE,TRUE
16,M,FALSE,TRUE,TRUE
17,M,FALSE,FALSE,TRUE
18,M,FALSE,FALSE,TRUE
19,M,FALSE,FALSE,TRUE
20,M,FALSE,TRUE,TRUE
21,M,FALSE,FALSE,TRUE
22,M,FALSE,TRUE,TRUE
23,M,FALSE,FALSE,TRUE
24,M,FALSE,FALSE,TRUE
25,M,FALSE,TRUE,TRUE
26,M,FALSE,FALSE,TRUE
27,M,FALSE,FALSE,TRUE
28,M,FALSE,FALSE,FALSE
29,M,FALSE,FALSE,TRUE
30,M,FALSE,FALSE,TRUE
31,M,FALSE,FALSE,TRUE
32,M,FALSE,FALSE,TRUE
33,M,FALSE,TRUE,TRUE
34,M,FALSE,TRUE,TRUE
35,M,FALSE,TRUE,TRUE
36,M,FALSE,FALSE,TRUE
37,M,FALSE,FALSE,TRUE
38,M,FALSE,FALSE,TRUE
39,M,FALSE,TRUE,TRUE
40,M,FALSE,TRUE,TRUE
41,M,FALSE,TRUE,TRUE
42,M,FALSE,TRUE,TRUE
43,M,FALSE,TRUE,TRUE
44,M,FALSE,FALSE,TRUE
45,M,FALSE,TRUE,TRUE
46,M,FALSE,TRUE,TRUE
47,M,FALSE,TRUE,TRUE
48,M,FALSE,TRUE,FALSE
49,M,FALSE,TRUE,TRUE
50,M,FALSE,FALSE,TRUE
51,M,FALSE,FALSE,TRUE
52,M,FALSE,FALSE,TRUE
53,M,FALSE,FALSE,TRUE
54,M,FALSE,TRUE,TRUE
55,M,FALSE,TRUE,TRUE
56,M,FALSE,TRUE,TRUE
57,M,FALSE,TRUE,TRUE
58,M,FALSE,TRUE,TRUE
59,M,FALSE,TRUE,TRUE
60,M,FALSE,TRUE,TRUE
61,M,FALSE,TRUE,TRUE
62,M,FALSE,TRUE,TRUE
63,M,FALSE,TRUE,TRUE
64,M,FALSE,TRUE,TRUE
65,M,FALSE,TRUE,FALSE
66,M,FALSE,FALSE,TRUE
67,M,FALSE,TRUE,TRUE
68,M,FALSE,TRUE,TRUE
69,M,FALSE,TRUE,TRUE
70,M,FALSE,FALSE,TRUE
71,M,FALSE,TRUE,TRUE
72,M,FALSE,TRUE,TRUE
73,M,FALSE,TRUE,TRUE
74,M,FALSE,TRUE,TRUE
75,M,FALSE,TRUE,TRUE
76,M,FALSE,FALSE,TRUE
77,M,FALSE,TRUE,TRUE
78,M,FALSE,FALSE,FALSE
79,M,FALSE,TRUE,TRUE
80,M,FALSE,FALSE,TRUE
81,M,FALSE,TRUE,TRUE
82,M,FALSE,TRUE,TRUE
83,M,FALSE,FALSE,TRUE
84,M,FALSE,TRUE,TRUE
85,M,FALSE,TRUE,TRUE
86,M,FALSE,TRUE,TRUE
87,M,FALSE,TRUE,TRUE
88,M,FALSE,TRUE,TRUE
89,M,FALSE,FALSE,TRUE
90,M,FALSE,TRUE,TRUE
